County,City,Location Description,Transit Type,Day of Date,Avg. PercentNorm/100
Benton,Richland,Hains Levee Trail,Pedestrian,"March 26, 2020",14%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 25, 2020",-13%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 24, 2020",6%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 23, 2020",15%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 22, 2020",23%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 21, 2020",88%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 20, 2020",104%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 19, 2020",83%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 18, 2020",90%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 17, 2020",55%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 16, 2020",53%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 15, 2020",-57%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 14, 2020",-70%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 13, 2020",-57%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 12, 2020",16%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 11, 2020",7%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 10, 2020",-19%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 9, 2020",36%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 7, 2020",-5%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 6, 2020",-5%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 5, 2020",1%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 4, 2020",6%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 3, 2020",-8%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 2, 2020",-12%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 1, 2020",4%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"June 2, 2020",68%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"June 2, 2020",87%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"June 1, 2020",147%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"June 1, 2020",115%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 31, 2020",14%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 31, 2020",35%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 30, 2020",61%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 30, 2020",39%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 29, 2020",-6%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 29, 2020",7%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 28, 2020",139%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 28, 2020",70%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 27, 2020",133%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 27, 2020",76%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 26, 2020",182%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 26, 2020",100%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 25, 2020",72%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 25, 2020",-45%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 24, 2020",106%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 24, 2020",118%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 23, 2020",39%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 23, 2020",165%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 22, 2020",36%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 22, 2020",-12%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 21, 2020",19%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 21, 2020",-25%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 20, 2020",44%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 20, 2020",-47%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 19, 2020",64%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 19, 2020",48%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 18, 2020",78%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 18, 2020",21%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 17, 2020",-14%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 17, 2020",4%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 16, 2020",103%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 16, 2020",128%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 15, 2020",49%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 15, 2020",68%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 14, 2020",96%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 14, 2020",20%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 13, 2020",59%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 13, 2020",-6%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 12, 2020",82%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 12, 2020",11%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 11, 2020",72%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 11, 2020",41%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 10, 2020",64%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 10, 2020",75%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 9, 2020",139%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 9, 2020",155%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 8, 2020",118%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 8, 2020",83%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 7, 2020",215%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 7, 2020",129%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 6, 2020",33%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 6, 2020",-30%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 5, 2020",175%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 5, 2020",129%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 4, 2020",231%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 4, 2020",114%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 3, 2020",44%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 3, 2020",65%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 2, 2020",144%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 2, 2020",146%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"May 1, 2020",85%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"May 1, 2020",140%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 30, 2020",83%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 30, 2020",61%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 29, 2020",157%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 29, 2020",120%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 28, 2020",245%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 28, 2020",204%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 27, 2020",33%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 27, 2020",-18%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 26, 2020",190%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 26, 2020",237%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 25, 2020",174%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 25, 2020",114%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 24, 2020",170%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 24, 2020",133%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 23, 2020",104%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 23, 2020",32%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 22, 2020",23%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 22, 2020",-16%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 21, 2020",220%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 21, 2020",125%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 20, 2020",267%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 20, 2020",140%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 19, 2020",457%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 19, 2020",312%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 18, 2020",389%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 18, 2020",373%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 17, 2020",257%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 17, 2020",102%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 16, 2020",413%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 16, 2020",181%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 15, 2020",30%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 15, 2020",11%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 14, 2020",430%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 14, 2020",89%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 13, 2020",179%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 13, 2020",132%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 12, 2020",60%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 12, 2020",187%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 11, 2020",130%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 11, 2020",189%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 10, 2020",487%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 10, 2020",189%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 9, 2020",765%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 9, 2020",149%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 8, 2020",187%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 8, 2020",198%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 7, 2020",185%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 7, 2020",193%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 6, 2020",238%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 6, 2020",107%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 5, 2020",180%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 5, 2020",268%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 4, 2020",256%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 4, 2020",431%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 3, 2020",70%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 3, 2020",22%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 2, 2020",196%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 2, 2020",108%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"April 1, 2020",13%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"April 1, 2020",12%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 31, 2020",59%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 31, 2020",64%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 30, 2020",21%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 30, 2020",-43%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 29, 2020",144%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 29, 2020",29%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 28, 2020",17%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 28, 2020",40%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 27, 2020",369%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 27, 2020",33%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 26, 2020",282%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 26, 2020",90%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 25, 2020",33%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 25, 2020",3%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 24, 2020",200%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 24, 2020",66%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 23, 2020",79%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 23, 2020",-26%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 22, 2020",372%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 22, 2020",134%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 21, 2020",165%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 21, 2020",268%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 20, 2020",323%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 20, 2020",160%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 19, 2020",271%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 19, 2020",131%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 18, 2020",167%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 18, 2020",54%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 17, 2020",129%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 17, 2020",52%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 16, 2020",150%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 16, 2020",45%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 15, 2020",-6%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 15, 2020",-65%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 14, 2020",-48%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 14, 2020",-82%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 13, 2020",-31%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 13, 2020",-27%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 12, 2020",24%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 12, 2020",23%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 11, 2020",0%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 11, 2020",-19%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 10, 2020",29%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 10, 2020",-3%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 9, 2020",50%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 9, 2020",112%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 7, 2020",17%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 7, 2020",-21%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 6, 2020",0%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 6, 2020",-77%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 5, 2020",-18%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 5, 2020",1%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 4, 2020",-5%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 4, 2020",1%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 3, 2020",-29%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 3, 2020",-6%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 2, 2020",-14%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 2, 2020",-8%
Benton,West Richland,Keene Rd 2 (West Richland),Pedestrian,"March 1, 2020",11%
Benton,West Richland,Keene Rd 1 (West Richland),Pedestrian,"March 1, 2020",-29%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"June 2, 2020",-44%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"June 2, 2020",63%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"June 1, 2020",586%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"June 1, 2020",43%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 31, 2020",111%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 31, 2020",124%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 30, 2020",-49%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 30, 2020",46%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 29, 2020",25%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 28, 2020",14%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 28, 2020",400%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 27, 2020",57%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 26, 2020",1044%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 26, 2020",164%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 25, 2020",124%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 24, 2020",61%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 23, 2020",-16%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 23, 2020",69%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 22, 2020",61%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 22, 2020",94%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 21, 2020",0%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 20, 2020",48%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 19, 2020",291%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 19, 2020",150%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 18, 2020",49%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 18, 2020",424%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 17, 2020",-42%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 17, 2020",61%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 16, 2020",-46%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 16, 2020",43%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 15, 2020",8%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 15, 2020",119%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 14, 2020",-13%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 14, 2020",106%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 13, 2020",-53%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 13, 2020",-26%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 12, 2020",-29%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 12, 2020",129%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 11, 2020",-29%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 11, 2020",106%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 10, 2020",4%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 10, 2020",153%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 9, 2020",10%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 9, 2020",31%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 8, 2020",44%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 8, 2020",72%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 7, 2020",21%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 7, 2020",178%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 6, 2020",-44%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 6, 2020",44%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 5, 2020",20%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 5, 2020",214%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 4, 2020",-20%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 4, 2020",171%
Clallam,,Olympic Discovery Trail Hollywood Beach,Pedestrian,"May 3, 2020",-9%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 3, 2020",47%
Clallam,,Elwha Bridge Trail Crossing,Pedestrian,"May 2, 2020",-3%
