Highway,County,Freight count location,Day of Date1,Percentage Change
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 10, 2020",-28%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 9, 2020",-29%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 8, 2020",-22%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 7, 2020",-24%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 6, 2020",-21%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 5, 2020",-25%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 4, 2020",-22%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 3, 2020",-31%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 2, 2020",-31%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 1, 2020",-23%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 30, 2020",-33%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 29, 2020",-25%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 28, 2020",-36%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 27, 2020",-26%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 26, 2020",-40%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 25, 2020",-36%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 24, 2020",-27%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 23, 2020",-29%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 22, 2020",-29%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 21, 2020",-28%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 20, 2020",-26%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 19, 2020",-33%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 18, 2020",-34%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 17, 2020",-26%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 16, 2020",-27%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 15, 2020",-29%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 14, 2020",-31%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 13, 2020",-30%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 12, 2020",-52%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 11, 2020",-50%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 10, 2020",-33%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 9, 2020",-38%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 8, 2020",-33%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 7, 2020",-37%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 6, 2020",-37%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 5, 2020",-58%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 4, 2020",-64%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 3, 2020",-35%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 2, 2020",-31%
I-205,Clark,I-205 at SR 14 (WA/OR border),"April 1, 2020",-33%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 31, 2020",-28%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 30, 2020",-39%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 29, 2020",-50%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 28, 2020",-50%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 27, 2020",-34%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 26, 2020",-31%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 25, 2020",-31%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 24, 2020",-28%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 23, 2020",-20%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 22, 2020",-36%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 21, 2020",-30%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 20, 2020",-18%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 19, 2020",-15%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 18, 2020",-20%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 17, 2020",-14%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 16, 2020",-9%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 15, 2020",-22%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 14, 2020",-17%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 13, 2020",-6%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 12, 2020",-3%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 11, 2020",-4%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 10, 2020",-4%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 9, 2020",1%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 8, 2020",-2%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 7, 2020",-7%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 6, 2020",-3%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 5, 2020",-1%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 4, 2020",3%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 3, 2020",-6%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 2, 2020",15%
I-205,Clark,I-205 at SR 14 (WA/OR border),"March 1, 2020",-1%
I-5,Clark,I-5 at SR 502 (Battle Ground),"June 3, 2020",-2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"June 3, 2020",-9%
I-5,Clark,I-5 at SR 502 (Battle Ground),"June 2, 2020",1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"June 2, 2020",-10%
I-5,Clark,I-5 at SR 502 (Battle Ground),"June 1, 2020",-2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"June 1, 2020",-11%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 31, 2020",-13%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 31, 2020",-30%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 30, 2020",-14%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 30, 2020",-31%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 29, 2020",-4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 29, 2020",-9%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 28, 2020",2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 28, 2020",-8%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 27, 2020",-1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 27, 2020",-7%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 26, 2020",-3%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 26, 2020",-9%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 25, 2020",-9%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 25, 2020",-21%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 24, 2020",-9%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 24, 2020",-26%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 23, 2020",-5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 23, 2020",-26%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 22, 2020",-4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 22, 2020",-10%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 21, 2020",-6%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 21, 2020",-14%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 20, 2020",-3%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 20, 2020",-12%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 19, 2020",-4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 19, 2020",-13%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 18, 2020",-2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 18, 2020",-15%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 17, 2020",-18%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 17, 2020",-36%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 16, 2020",-5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 16, 2020",-34%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 15, 2020",-7%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 15, 2020",-16%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 14, 2020",-7%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 14, 2020",-20%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 13, 2020",-35%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 13, 2020",-22%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 12, 2020",-4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 12, 2020",-16%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 11, 2020",-4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 11, 2020",-13%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 10, 2020",-15%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 10, 2020",-28%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 9, 2020",-7%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 9, 2020",-32%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 8, 2020",-8%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 8, 2020",-16%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 7, 2020",-5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 7, 2020",-16%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 6, 2020",-6%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 6, 2020",-13%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 5, 2020",-3%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 5, 2020",-13%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 4, 2020",-8%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 4, 2020",-16%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 3, 2020",-26%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 3, 2020",-41%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 2, 2020",-27%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 2, 2020",-41%
I-5,Clark,I-5 at SR 502 (Battle Ground),"May 1, 2020",-13%
I-5,Clark,I-5 at SR 14 (WA/OR border),"May 1, 2020",-20%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 30, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 30, 2020",-30%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 29, 2020",-7%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 29, 2020",-19%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 28, 2020",-40%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 28, 2020",-32%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 27, 2020",-14%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 27, 2020",-19%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 26, 2020",-32%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 26, 2020",-42%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 25, 2020",-24%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 25, 2020",-47%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 24, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 24, 2020",-23%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 23, 2020",-13%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 23, 2020",-22%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 22, 2020",-13%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 22, 2020",-26%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 21, 2020",-10%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 21, 2020",-20%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 20, 2020",-11%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 20, 2020",-21%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 19, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 19, 2020",-41%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 18, 2020",-17%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 18, 2020",-45%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 17, 2020",-12%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 17, 2020",-22%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 16, 2020",-13%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 16, 2020",-24%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 15, 2020",-14%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 15, 2020",-22%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 14, 2020",-14%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 14, 2020",-24%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 13, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 13, 2020",-20%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 12, 2020",-44%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 12, 2020",-59%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 11, 2020",-28%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 11, 2020",-50%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 10, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 10, 2020",-28%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 9, 2020",-10%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 9, 2020",-24%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 8, 2020",-11%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 8, 2020",-23%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 7, 2020",-12%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 7, 2020",-24%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 6, 2020",-15%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 6, 2020",-25%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 5, 2020",-42%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 5, 2020",-60%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 4, 2020",-49%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 4, 2020",-67%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 3, 2020",-11%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 3, 2020",-32%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 2, 2020",-14%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 2, 2020",-27%
I-5,Clark,I-5 at SR 502 (Battle Ground),"April 1, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"April 1, 2020",-30%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 31, 2020",-14%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 31, 2020",-25%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 30, 2020",-9%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 30, 2020",-27%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 29, 2020",-33%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 29, 2020",-59%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 28, 2020",-28%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 28, 2020",-58%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 27, 2020",-12%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 27, 2020",-30%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 26, 2020",-6%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 26, 2020",-25%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 25, 2020",-3%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 25, 2020",-22%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 24, 2020",-6%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 24, 2020",-23%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 23, 2020",3%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 23, 2020",-17%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 22, 2020",-6%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 22, 2020",-40%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 21, 2020",5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 21, 2020",-33%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 20, 2020",5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 20, 2020",-12%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 19, 2020",2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 19, 2020",-10%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 18, 2020",-1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 18, 2020",-10%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 17, 2020",1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 17, 2020",-10%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 16, 2020",1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 16, 2020",-3%
